,wafer,polymer,state,file,label_x,area_x,perimeter_x,major_axis_length_x,minor_axis_length_x,mean_intensity_x,centroid-0_x,centroid-1_x,bbox-0_x,bbox-1_x,bbox-2_x,bbox-3_x,ID_post,label_y,area_y,perimeter_y,major_axis_length_y,minor_axis_length_y,mean_intensity_y,centroid-0_y,centroid-1_y,bbox-0_y,bbox-1_y,bbox-2_y,bbox-3_y
0.0,w85,2c,pre,/run/media/nibor/data_ext/quantDigest_imageData/tif_pre/w85_pre.tif,1.0,3078.0,218.37972567696687,69.10968801178504,58.29201561485438,211.2949967511371,128.0,1089.0,97.0,1057.0,168.0,1121.0,0.0,1.0,3825.0,235.03657992645927,74.09478238528256,66.40331589214757,191.759477124183,123.0,1094.0,89.0,1059.0,164.0,1128.0
1.0,w85,2c,pre,/run/media/nibor/data_ext/quantDigest_imageData/tif_pre/w85_pre.tif,2.0,562.0,87.698484809835,28.465948299304927,25.410926135012975,166.35053380782918,184.0,1477.0,172.0,1465.0,197.0,1492.0,1.0,2.0,636.0,93.59797974644667,30.688626318034625,26.65221579206707,158.88836477987422,176.0,1482.0,163.0,1469.0,190.0,1499.0
2.0,w85,2c,pre,/run/media/nibor/data_ext/quantDigest_imageData/tif_pre/w85_pre.tif,3.0,344.0,67.11269837220809,21.97620805340868,19.978112292649662,164.92151162790697,274.0,641.0,265.0,631.0,285.0,653.0,2.0,3.0,397.0,72.18376618407356,23.355951764949403,21.662392126721308,157.46851385390428,272.0,648.0,262.0,637.0,284.0,661.0
3.0,w85,2c,pre,/run/media/nibor/data_ext/quantDigest_imageData/tif_pre/w85_pre.tif,4.0,1404.0,146.71067811865476,49.220758240799,37.6229834078405,152.49216524216524,376.0,2713.0,354.0,2693.0,402.0,2731.0,3.0,4.0,1918.0,167.78174593052023,54.378033539416485,45.81279137751997,169.7325338894682,361.0,2720.0,335.0,2697.0,390.0,2743.0
4.0,w85,2c,pre,/run/media/nibor/data_ext/quantDigest_imageData/tif_pre/w85_pre.tif,5.0,2527.0,225.62236636408616,65.02645364062535,52.68097045259599,175.31143648595173,410.0,2595.0,379.0,2555.0,439.0,2628.0,5.0,6.0,362.0,69.94112549695427,24.065476830775797,19.62489686417778,160.38950276243094,426.0,1246.0,415.0,1238.0,439.0,1258.0
5.0,w85,2c,pre,/run/media/nibor/data_ext/quantDigest_imageData/tif_pre/w85_pre.tif,6.0,229.0,54.87005768508881,19.66688801764103,15.022109508560439,152.18340611353713,433.0,1240.0,424.0,1234.0,444.0,1249.0,4.0,5.0,2892.0,226.10764773832474,68.56183045316257,56.29768500965755,176.7935684647303,395.0,2602.0,361.0,2562.0,424.0,2637.0
6.0,w85,2c,pre,/run/media/nibor/data_ext/quantDigest_imageData/tif_pre/w85_pre.tif,7.0,1766.0,161.23759005323592,54.07465292149753,42.41104129748229,191.84031710079276,678.0,1044.0,650.0,1020.0,703.0,1071.0,6.0,7.0,2018.0,169.48023074035524,57.20034554220839,45.52038287313757,184.34786917740337,673.0,1053.0,644.0,1028.0,700.0,1081.0
7.0,w85,2c,pre,/run/media/nibor/data_ext/quantDigest_imageData/tif_pre/w85_pre.tif,8.0,2591.0,198.40916292848976,62.70266108815463,54.1446282557626,208.90930142802006,733.0,1594.0,702.0,1565.0,760.0,1629.0,7.0,8.0,3048.0,211.7228714274745,68.57141389354324,57.35519838699114,199.95472440944883,724.0,1603.0,692.0,1571.0,753.0,1641.0
8.0,w85,2c,pre,/run/media/nibor/data_ext/quantDigest_imageData/tif_pre/w85_pre.tif,9.0,608.0,93.1543289325507,30.730518146541527,25.76131646177993,172.71546052631578,752.0,2723.0,737.0,2711.0,768.0,2740.0,8.0,9.0,736.0,101.9827560572969,33.20174405746249,28.577611378001034,171.4945652173913,736.0,2733.0,720.0,2719.0,754.0,2750.0
9.0,w85,2c,pre,/run/media/nibor/data_ext/quantDigest_imageData/tif_pre/w85_pre.tif,10.0,3491.0,226.40916292848976,75.64612032918976,59.367324570507975,201.72128329991406,822.0,588.0,793.0,552.0,853.0,624.0,11.0,12.0,1450.0,161.82337649086284,62.854592737727366,30.395180880589095,159.4158620689655,883.0,2622.0,857.0,2598.0,910.0,2647.0
10.0,w85,2c,pre,/run/media/nibor/data_ext/quantDigest_imageData/tif_pre/w85_pre.tif,11.0,1176.0,132.81118318204307,46.70038212065748,32.561470546645566,162.96768707482994,822.0,2017.0,801.0,2000.0,846.0,2035.0,9.0,10.0,1329.0,140.22539674441617,48.89176545557179,35.1186553197988,169.81264108352144,811.0,2027.0,788.0,2009.0,836.0,2046.0
11.0,w85,2c,pre,/run/media/nibor/data_ext/quantDigest_imageData/tif_pre/w85_pre.tif,12.0,1281.0,157.3380951166243,59.98610166455054,28.317326680878633,156.07416081186574,899.0,2611.0,874.0,2589.0,924.0,2635.0,10.0,11.0,4109.0,242.89444430272832,81.55235840177039,64.6203456425308,197.21781455341932,819.0,596.0,789.0,555.0,854.0,635.0
12.0,w85,2c,pre,/run/media/nibor/data_ext/quantDigest_imageData/tif_pre/w85_pre.tif,13.0,868.0,108.8111831820431,37.492690007611216,29.698137911728313,198.18548387096774,943.0,1752.0,926.0,1738.0,965.0,1768.0,12.0,13.0,992.0,124.42640687119285,41.66325778407531,31.408829505012125,160.81048387096774,879.0,2060.0,861.0,2045.0,900.0,2076.0
13.0,w85,2c,pre,/run/media/nibor/data_ext/quantDigest_imageData/tif_pre/w85_pre.tif,14.0,1028.0,146.71067811865476,56.17146780444199,25.44115333887204,173.63132295719845,1091.0,1620.0,1077.0,1596.0,1107.0,1648.0,13.0,14.0,741.0,100.32590180780451,31.938471830188178,29.65015554539061,150.24561403508773,887.0,722.0,872.0,707.0,904.0,738.0
14.0,w85,2c,pre,/run/media/nibor/data_ext/quantDigest_imageData/tif_pre/w85_pre.tif,15.0,338.0,67.35533905932738,24.25123686903178,17.904071545036228,143.92603550295857,1203.0,133.0,1195.0,122.0,1216.0,144.0,15.0,16.0,897.0,112.22539674441619,38.39054719221389,29.97451119857026,171.99108138238574,933.0,1763.0,915.0,1748.0,955.0,1779.0
15.0,w85,2c,pre,/run/media/nibor/data_ext/quantDigest_imageData/tif_pre/w85_pre.tif,16.0,570.0,98.5685424949238,38.77730257433536,19.097545648870064,157.26666666666668,1209.0,1754.0,1195.0,1739.0,1225.0,1771.0,16.0,17.0,1166.0,156.61017305526642,58.15623818947983,27.79585159232994,166.4408233276158,1082.0,1631.0,1066.0,1606.0,1099.0,1660.0
16.0,w85,2c,pre,/run/media/nibor/data_ext/quantDigest_imageData/tif_pre/w85_pre.tif,17.0,413.0,74.76955262170047,25.139824914641082,21.081236189001768,169.41162227602905,1296.0,486.0,1286.0,475.0,1309.0,499.0,17.0,18.0,410.0,75.01219330881976,27.543127778146843,19.132632106021113,144.66341463414633,1204.0,146.0,1194.0,134.0,1217.0,159.0
17.0,w85,2c,pre,/run/media/nibor/data_ext/quantDigest_imageData/tif_pre/w85_pre.tif,18.0,379.0,70.76955262170047,24.159492279114087,20.056743778785854,179.29287598944592,1319.0,653.0,1308.0,643.0,1331.0,665.0,18.0,19.0,450.0,78.18376618407356,26.768223348526632,21.643246521674183,159.08666666666667,1295.0,499.0,1284.0,487.0,1307.0,513.0
18.0,w85,2c,pre,/run/media/nibor/data_ext/quantDigest_imageData/tif_pre/w85_pre.tif,19.0,1447.0,147.39696961967,44.791901499396985,42.38751615402788,179.00691085003456,1334.0,904.0,1313.0,882.0,1354.0,927.0,20.0,21.0,2709.0,210.40916292848974,78.6177744903185,44.59559851129248,173.5765965300849,1343.0,1432.0,1306.0,1406.0,1382.0,1457.0
19.0,w85,2c,pre,/run/media/nibor/data_ext/quantDigest_imageData/tif_pre/w85_pre.tif,20.0,2120.0,196.99494936611666,67.70266844416575,41.472214607321916,158.09858490566037,1353.0,1420.0,1323.0,1395.0,1384.0,1443.0,21.0,22.0,1972.0,187.095454429505,59.612733321002224,43.99313614119656,165.95486815415822,1328.0,913.0,1307.0,880.0,1352.0,941.0
20.0,w85,2c,pre,/run/media/nibor/data_ext/quantDigest_imageData/tif_pre/w85_pre.tif,21.0,2347.0,183.53910524340094,61.755944562232884,49.01633652996797,208.25607158074138,1469.0,856.0,1440.0,833.0,1498.0,881.0,22.0,23.0,2605.0,191.19595949289334,64.09190016568566,52.063478452597494,200.84990403071018,1465.0,870.0,1434.0,845.0,1495.0,897.0
21.0,w85,2c,pre,/run/media/nibor/data_ext/quantDigest_imageData/tif_pre/w85_pre.tif,22.0,2345.0,182.2670273047588,60.17997220294139,49.858292718718126,205.55309168443497,1494.0,2319.0,1465.0,2294.0,1524.0,2346.0,23.0,24.0,2518.0,188.26702730475878,60.74798127359131,53.07184760689166,184.263701350278,1480.0,2333.0,1452.0,2307.0,1511.0,2362.0
22.0,w85,2c,pre,/run/media/nibor/data_ext/quantDigest_imageData/tif_pre/w85_pre.tif,23.0,1320.0,141.39696961967,48.08054053425958,35.535777264988894,175.61742424242425,1524.0,2255.0,1504.0,2235.0,1548.0,2276.0,25.0,26.0,1107.0,126.32590180780451,42.89496240474213,33.28634959332576,165.91960252935863,1549.0,2655.0,1531.0,2637.0,1568.0,2676.0
23.0,w85,2c,pre,/run/media/nibor/data_ext/quantDigest_imageData/tif_pre/w85_pre.tif,24.0,870.0,113.39696961966999,38.507295838918665,29.07947614832785,162.64022988505747,1565.0,2640.0,1550.0,2622.0,1581.0,2660.0,24.0,25.0,1492.0,147.0538238691624,50.22552299417184,38.263349212851864,163.47520107238606,1510.0,2269.0,1489.0,2248.0,1534.0,2292.0
24.0,w85,2c,pre,/run/media/nibor/data_ext/quantDigest_imageData/tif_pre/w85_pre.tif,25.0,575.0,86.76955262170047,27.947161801930203,26.347358421651375,175.9304347826087,1585.0,2086.0,1573.0,2074.0,1599.0,2101.0,26.0,27.0,688.0,95.25483399593904,30.93783064943164,28.453603116764345,170.86337209302326,1573.0,2100.0,1560.0,2087.0,1589.0,2117.0
25.0,w85,2c,pre,/run/media/nibor/data_ext/quantDigest_imageData/tif_pre/w85_pre.tif,26.0,3519.0,233.76450198781714,80.81335171322968,56.20471308395188,195.89997158283603,1781.0,146.0,1752.0,105.0,1812.0,188.0,27.0,28.0,3865.0,238.93607486307093,82.6515355751086,60.01658736089431,207.9627425614489,1783.0,163.0,1752.0,121.0,1815.0,206.0
26.0,w85,2c,pre,/run/media/nibor/data_ext/quantDigest_imageData/tif_pre/w85_pre.tif,27.0,1585.0,171.82337649086284,52.26810525953558,40.993234234260164,153.82271293375393,1782.0,236.0,1761.0,205.0,1808.0,264.0,31.0,32.0,1068.0,126.81118318204308,46.55197684362263,29.3778004085088,153.14513108614233,1916.0,2307.0,1896.0,2290.0,1938.0,2326.0
27.0,w85,2c,pre,/run/media/nibor/data_ext/quantDigest_imageData/tif_pre/w85_pre.tif,28.0,1701.0,154.2670273047588,53.77617011346173,40.512839845513184,211.76601998824222,1819.0,2326.0,1793.0,2306.0,1848.0,2348.0,33.0,34.0,1775.0,173.23759005323592,60.29760207041339,39.44334139839017,179.6354929577465,2151.0,2194.0,2124.0,2171.0,2182.0,2221.0
28.0,w85,2c,pre,/run/media/nibor/data_ext/quantDigest_imageData/tif_pre/w85_pre.tif,29.0,1722.0,160.75230867899737,56.43952676250133,39.66545458638946,201.19570267131243,1888.0,1699.0,1863.0,1674.0,1913.0,1726.0,32.0,33.0,1016.0,122.32590180780451,42.57273162896504,30.79574157701801,171.47834645669292,1924.0,473.0,1906.0,458.0,1945.0,492.0
29.0,w85,2c,pre,/run/media/nibor/data_ext/quantDigest_imageData/tif_pre/w85_pre.tif,30.0,936.0,117.1543289325507,41.82297472089051,28.904503991355636,185.88995726495727,1926.0,456.0,1909.0,441.0,1946.0,475.0,35.0,36.0,803.0,107.88225099390856,36.789861360779156,28.438798333672477,165.920298879203,2201.0,1082.0,2184.0,1067.0,2219.0,1102.0
30.0,w85,2c,pre,/run/media/nibor/data_ext/quantDigest_imageData/tif_pre/w85_pre.tif,31.0,1612.0,166.40916292848976,58.33977807979236,37.36616189082406,163.76178660049627,2163.0,2175.0,2138.0,2153.0,2192.0,2202.0,36.0,37.0,831.0,106.32590180780451,34.827613778295834,30.679080469978498,184.13598074608905,2207.0,934.0,2192.0,918.0,2223.0,953.0
31.0,w85,2c,pre,/run/media/nibor/data_ext/quantDigest_imageData/tif_pre/w85_pre.tif,32.0,736.0,104.22539674441617,35.803468872661846,26.83628178492173,173.97146739130434,2206.0,1063.0,2191.0,1048.0,2223.0,1083.0,37.0,38.0,775.0,114.46803743153546,38.31685602692988,28.072672544581412,148.4258064516129,2228.0,462.0,2211.0,445.0,2243.0,485.0
32.0,w85,2c,pre,/run/media/nibor/data_ext/quantDigest_imageData/tif_pre/w85_pre.tif,33.0,764.0,103.1543289325507,33.29142535509697,29.449605336111794,184.6413612565445,2212.0,915.0,2197.0,899.0,2228.0,933.0,38.0,39.0,1310.0,154.36753236814712,47.55833496853614,36.8903665583914,185.15496183206108,2241.0,2236.0,2224.0,2215.0,2262.0,2268.0
33.0,w85,2c,pre,/run/media/nibor/data_ext/quantDigest_imageData/tif_pre/w85_pre.tif,34.0,833.0,106.22539674441617,34.706054116145204,30.943471875680746,154.2016806722689,2213.0,2486.0,2199.0,2470.0,2231.0,2506.0,39.0,40.0,762.0,103.9827560572969,34.75061406150027,28.54158474387895,166.83202099737534,2366.0,532.0,2350.0,518.0,2385.0,549.0
34.0,w85,2c,pre,/run/media/nibor/data_ext/quantDigest_imageData/tif_pre/w85_pre.tif,35.0,667.0,109.88225099390857,37.40813710450204,25.51776183071463,144.25337331334333,2229.0,442.0,2214.0,425.0,2243.0,465.0,,,,,,,,,,,,,
35.0,w85,2c,pre,/run/media/nibor/data_ext/quantDigest_imageData/tif_pre/w85_pre.tif,36.0,1085.0,119.9827560572969,38.14825415165441,36.261108017331225,195.32811059907834,2255.0,2214.0,2238.0,2197.0,2275.0,2234.0,,,,,,,,,,,,,
36.0,w85,2c,pre,/run/media/nibor/data_ext/quantDigest_imageData/tif_pre/w85_pre.tif,37.0,759.0,102.91168824543142,34.370365616882445,28.72414848917253,199.4848484848485,2368.0,511.0,2353.0,497.0,2386.0,528.0,,,,,,,,,,,,,
37.0,w85,2c,pre,/run/media/nibor/data_ext/quantDigest_imageData/tif_pre/w85_pre.tif,38.0,751.0,109.39696961966999,39.06005355767713,25.248454158566695,177.58854860186418,2530.0,1125.0,2517.0,1105.0,2546.0,1144.0,,,,,,,,,,,,,
38.0,w85,2c,pre,/run/media/nibor/data_ext/quantDigest_imageData/tif_pre/w85_pre.tif,39.0,384.0,72.66904755831214,24.132299968999156,20.531586694634658,151.22135416666666,2530.0,1629.0,2520.0,1617.0,2544.0,1641.0,,,,,,,,,,,,,
39.0,w85,2c,pre,/run/media/nibor/data_ext/quantDigest_imageData/tif_pre/w85_pre.tif,40.0,2765.0,207.1959594928933,68.62292597715394,52.38360114600333,208.35804701627487,2552.0,2291.0,2522.0,2263.0,2585.0,2319.0,,,,,,,,,,,,,
40.0,w85,2c,pre,/run/media/nibor/data_ext/quantDigest_imageData/tif_pre/w85_pre.tif,41.0,296.0,61.94112549695428,21.182022849953444,17.81932786618928,143.1689189189189,2538.0,2527.0,2530.0,2517.0,2549.0,2538.0,,,,,,,,,,,,,
41.0,w85,2c,pre,/run/media/nibor/data_ext/quantDigest_imageData/tif_pre/w85_pre.tif,42.0,2139.0,175.3380951166243,55.883435861866765,49.22961402982099,186.48106591865357,2792.0,1756.0,2766.0,1728.0,2818.0,1785.0,,,,,,,,,,,,,
42.0,w85,2c,pre,/run/media/nibor/data_ext/quantDigest_imageData/tif_pre/w85_pre.tif,43.0,2951.0,209.7645019878171,72.49698794021411,53.10022425175465,194.81972212809217,2878.0,750.0,2845.0,717.0,2918.0,779.0,,,,,,,,,,,,,
43.0,w85,2c,pre,/run/media/nibor/data_ext/quantDigest_imageData/tif_pre/w85_pre.tif,44.0,479.0,80.66904755831213,25.163531497134414,24.525185956293456,151.321503131524,2966.0,2757.0,2955.0,2745.0,2981.0,2771.0,,,,,,,,,,,,,
44.0,w85,2c,pre,/run/media/nibor/data_ext/quantDigest_imageData/tif_pre/w85_pre.tif,45.0,2540.0,200.40916292848974,65.21422701237688,50.51423845477191,202.99094488188976,3132.0,1989.0,3103.0,1962.0,3167.0,2021.0,,,,,,,,,,,,,
45.0,w85,2c,pre,/run/media/nibor/data_ext/quantDigest_imageData/tif_pre/w85_pre.tif,46.0,1408.0,151.4386001800126,48.02591232235726,39.046998507624465,165.65553977272728,3234.0,1337.0,3217.0,1311.0,3257.0,1363.0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,14.0,15.0,1108.0,134.46803743153546,42.95592589623917,34.48324437620354,148.5803249097473,904.0,1899.0,888.0,1879.0,926.0,1922.0
,,,,,,,,,,,,,,,,,19.0,20.0,397.0,72.76955262170047,24.60948477108233,20.62075430623754,167.38035264483628,1316.0,666.0,1305.0,656.0,1329.0,678.0
,,,,,,,,,,,,,,,,,28.0,29.0,1967.0,180.3086578651014,56.96325982400736,46.07583044271911,181.42196237925776,1783.0,254.0,1760.0,221.0,1812.0,284.0
,,,,,,,,,,,,,,,,,29.0,30.0,1878.0,161.09545442950497,54.4218761802919,44.053670894448935,192.91160809371672,1806.0,2343.0,1780.0,2321.0,1835.0,2367.0
,,,,,,,,,,,,,,,,,30.0,31.0,1835.0,164.40916292848976,57.13759821919023,41.788639432680206,183.39128065395096,1878.0,1716.0,1852.0,1690.0,1903.0,1744.0
,,,,,,,,,,,,,,,,,34.0,35.0,851.0,109.88225099390856,34.664849345636924,31.76579723849476,155.25851938895417,2198.0,2506.0,2183.0,2489.0,2217.0,2526.0
,,,,,,,,,,,,,,,,,40.0,41.0,2832.0,210.8528137423857,69.03907298169237,53.35572396922219,202.21151129943502,2539.0,2313.0,2509.0,2284.0,2571.0,2343.0
,,,,,,,,,,,,,,,,,41.0,42.0,744.0,108.22539674441617,37.745209644637086,25.712503360751125,167.747311827957,2524.0,1147.0,2511.0,1127.0,2540.0,1166.0
,,,,,,,,,,,,,,,,,42.0,43.0,304.0,63.11269837220809,21.469000569216295,18.08754352103879,149.3125,2632.0,1801.0,2624.0,1791.0,2642.0,1813.0
,,,,,,,,,,,,,,,,,43.0,44.0,2250.0,182.26702730475878,58.053127277876804,50.08527445328721,168.41333333333333,2782.0,1781.0,2756.0,1752.0,2808.0,1809.0
,,,,,,,,,,,,,,,,,44.0,45.0,3291.0,219.76450198781714,75.06404961015923,56.806864294017466,196.61835308416894,2875.0,773.0,2841.0,739.0,2916.0,804.0
,,,,,,,,,,,,,,,,,45.0,46.0,533.0,84.66904755831214,27.379363171319305,24.918574006729425,147.4765478424015,2950.0,2781.0,2937.0,2769.0,2964.0,2796.0
,,,,,,,,,,,,,,,,,46.0,47.0,2702.0,201.82337649086284,66.38240883997516,52.59570762909107,204.17246484085862,3120.0,2014.0,3090.0,1987.0,3155.0,2046.0
,,,,,,,,,,,,,,,,,47.0,48.0,1552.0,164.7523086789974,51.140687691496325,40.872173445046855,165.31829896907217,3227.0,1363.0,3207.0,1333.0,3250.0,1390.0
